,Company,Product,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory,GPU_Company,GPU_Type,OpSys,Weight (kg),Price in Rupiah,Memory Size,Memory Type
300,Asus,VivoBook S14,Notebook,14.0,1366x768,Intel,Core i3 7100U,2.4,4,128GB SSD,Intel,HD Graphics 620,Windows 10,1.3,8693720,128,SSD
301,Asus,Rog GL702VS-GC095T,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1070,Windows 10,2.9,36243760,256,SSD +  1TB HDD
302,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel,Core i5 7200U,2.5,6,1TB HDD,Nvidia,GeForce GTX 940M,Windows 10,2.8,11084920,1000,HDD
303,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,8,2TB HDD,Nvidia,GeForce 940MX,No OS,2.2,9376920,2,HDD
304,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.5,21606200,128,SSD +  1TB HDD
305,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel,Pentium Quad Core N4200,1.1,4,1TB HDD,Intel,HD Graphics 505,No OS,2.2,6148629,1000,HDD
306,HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i7 7600U,2.8,16,256GB SSD,Intel,HD Graphics 620,Windows 10,1.28,33733000,256,SSD
307,Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 6500U,2.5,8,256GB SSD,Nvidia,GeForce 930M,Windows 10,2.2,17814440,256,SSD
308,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,128GB SSD +  1TB HDD,Nvidia,GeForce 940MX,Windows 10,2.3,13988520,128,SSD +  1TB HDD
309,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,1TB HDD,Intel,HD Graphics 520,Windows 10,1.86,8010520,1000,HDD
310,Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.1,17062920,256,SSD
311,Dell,XPS 13,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 8550U,1.8,16,1TB SSD,Intel,UHD Graphics 620,Windows 10,1.21,42682920,1000,SSD
312,MSI,GE63VR 7RF,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1070,Windows 10,2.8,35850920,256,SSD +  1TB HDD
313,Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,AMD,A8-Series 7410,2.2,8,256GB SSD,AMD,Radeon R5,Windows 10,2.23,8010520,256,SSD
314,Asus,VivoBook Flip,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel,Celeron Dual Core N3350,1.1,2,32GB Flash Storage,Intel,HD Graphics 500,Windows 10,1.1,4697000,32,Flash Storage
315,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,128GB SSD +  1TB HDD,AMD,Radeon 530,Windows 10,2.33,14415520,128,SSD +  1TB HDD
316,HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 8550U,1.8,16,1TB SSD,Intel,UHD Graphics 620,Windows 10,1.29,41828920,1000,SSD
317,Lenovo,ThinkPad 13,Notebook,13.3,1366x768,Intel,Celeron Dual Core 3855U,1.6,4,16GB Flash Storage,Intel,HD Graphics 510,Chrome OS,1.45,7855092,16,Flash Storage
318,HP,ProBook 640,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.95,16738400,256,SSD
319,Acer,TravelMate B,Notebook,11.6,1366x768,Intel,Pentium Quad Core N3710,1.6,4,128GB Flash Storage,Intel,HD Graphics 405,Windows 10,1.4,8283800,128,Flash Storage
320,HP,Elitebook 840,Notebook,14.0,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.48,22067360,256,SSD
321,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel,Core i5 7200U,2.5,4,1TB HDD,Nvidia,GeForce 920MX,Windows 10,2.79,10060120,1000,HDD
322,Asus,ZenBook UX410UA-GV183T,Notebook,14.0,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD,Intel,HD Graphics 620,Windows 10,2.0,18685520,256,SSD
323,HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1366x768,Intel,Core i7 8550U,1.8,8,1TB HDD,Intel,UHD Graphics 620,Windows 10,2.1,15406160,1000,HDD
324,Acer,Aspire 5,Notebook,15.6,1366x768,AMD,A12-Series 9720P,2.7,8,256GB SSD,AMD,Radeon RX 540,Windows 10,2.2,11255720,256,SSD
325,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3350,1.1,4,32GB Flash Storage,Intel,HD Graphics 500,Windows 10,1.44,4987360,32,Flash Storage
326,Acer,Aspire E5-575,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,6,1TB HDD,Intel,HD Graphics 620,Windows 10,2.23,9376920,1000,HDD
327,Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD,Nvidia,GeForce 940MX,Windows 10,1.7,17932292,256,SSD
328,HP,Elitebook 820,Ultrabook,12.5,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.26,22801800,256,SSD
329,Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,2.8,32,1TB SSD,Nvidia,GeForce GTX 1050,Windows 10,2.06,45074120,1000,SSD
330,MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.7,20478920,256,SSD +  1TB HDD
331,Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,2.0,16106440,256,SSD
332,Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD +  1TB HDD,Intel,HD Graphics 620,Windows 10,2.0,22784720,256,SSD +  1TB HDD
333,Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,1TB HDD,Intel,HD Graphics 520,Windows 10,1.85,7668920,1000,HDD
334,Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,256GB SSD,Nvidia,GeForce GTX 1050,Windows 10,2.5,17062920,256,SSD
335,HP,EliteBook 840,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7300U,2.6,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.48,21657440,256,SSD
336,Dell,Inspiron 7570,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,128GB SSD +  1TB HDD,Nvidia,GeForce 940MX,Windows 10,1.9,17916920,128,SSD +  1TB HDD
337,HP,Elitebook 850,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.84,19539520,256,SSD
338,Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1,4,1TB HDD,Intel,HD Graphics 500,Linux,2.0,4696829,1000,HDD
339,Dell,Inspiron 7570,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,Nvidia,GeForce 940MX,Windows 10,2.0,19518170,256,SSD
340,Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3060,1.6,4,500GB HDD,Intel,HD Graphics,Linux,2.2,4695292,500,HDD
341,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Full HD 1920x1080,AMD,A12-Series 9720P,3.6,12,2TB HDD,AMD,Radeon 530,Windows 10,2.2,15354920,2,HDD
342,HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i3 7100U,2.4,8,1TB HDD,Nvidia,GeForce 930MX,Windows 10,2.1,12229280,1000,HDD
343,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 8550U,1.8,16,512GB SSD,Intel,UHD Graphics 620,Windows 10,1.4,35850920,512,SSD
344,Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,256GB SSD,Intel,UHD Graphics 620,Windows 10,1.2,26969320,256,SSD
345,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,256GB SSD +  2TB HDD,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.4,19283320,256,SSD +  2TB HDD
346,HP,Stream 14-AX001nv,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3060,1.6,2,32GB Flash Storage,Intel,HD Graphics 400,Windows 10,1.44,4765320,32,Flash Storage
347,Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 8650U,1.9,16,512GB SSD +  256GB SSD,Intel,UHD Graphics 620,Windows 10,1.88,27463956,512,SSD +  256GB SSD
348,Asus,VivoBook Flip,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel,Celeron Dual Core N3350,1.1,4,32GB Flash Storage,Intel,HD Graphics 500,Windows 10,1.5,6405000,32,Flash Storage
349,Dell,Inspiron 5570,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,1TB HDD,AMD,Radeon 530,Windows 10,1.9,11324040,1000,HDD
350,Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,2.8,16,512GB SSD,Nvidia,GeForce GTX 1050,Windows 10,2.06,34628333,512,SSD
351,HP,Elitebook 850,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.84,22272320,256,SSD
352,MSI,GP72MVR 7RFX,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1060,Windows 10,2.7,24065720,128,SSD +  1TB HDD
353,HP,Zbook 15,Workstation,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,256GB SSD,Nvidia,Quadro M1200,Windows 10,2.6,29689651,256,SSD
354,Toshiba,Tecra A50-C-21G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 6500U,2.5,16,512GB SSD,Nvidia,GeForce 930M,Windows 10,2.4,23963240,512,SSD
355,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,128GB SSD +  2TB HDD,AMD,Radeon 530,Windows 10,2.02,16582972,128,SSD +  2TB HDD
356,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1,4,1TB HDD,Intel,HD Graphics 500,No OS,2.2,5499589,1000,HDD
357,Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.65,17062920,1000,HDD
358,Dell,Inspiron 3567,Notebook,15.6,Touchscreen 1366x768,Intel,Core i5 7200U,2.5,8,2TB HDD,Intel,HD Graphics 620,Windows 10,2.36,9519879,2,HDD
359,Dell,Latitude 7480,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7300U,2.6,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.36,24373160,256,SSD
360,HP,250 G6,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,4,500GB HDD,Intel,HD Graphics 520,Windows 10,1.86,7498120,500,HDD
361,Asus,Zenbook UX410UA-GV027T,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,2.0,16140600,256,SSD
362,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel,Core i5 7200U,2.5,6,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 940MX,Windows 10,2.8,12280520,128,SSD +  1TB HDD
363,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,1TB HDD,Intel,HD Graphics 620,Windows 10,1.86,10914120,1000,HDD
364,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,8,256GB SSD,Nvidia,GeForce 920MX,No OS,2.2,8522920,256,SSD
365,HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,1366x768,Intel,Pentium Quad Core N3710,1.6,8,2TB HDD,Intel,HD Graphics 405,Windows 10,2.04,6644120,2,HDD
366,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,128GB SSD +  1TB HDD,AMD,Radeon 530,Windows 10,2.8,18531800,128,SSD +  1TB HDD
367,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,No OS,2.4,13817720,128,SSD +  1TB HDD
368,Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD,AMD,Radeon R7 M445,Windows 10,2.33,15354920,256,SSD
369,HP,Elitebook 1040,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.36,29890000,256,SSD
370,Asus,ZenBook Flip,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7,12,512GB SSD +  2TB HDD,Nvidia,GeForce GT 940MX,Windows 10,2.26,18770920,512,SSD +  2TB HDD
371,Acer,Aspire 3,Notebook,15.6,1366x768,AMD,A9-Series 9420,3.0,4,128GB SSD,AMD,Radeon R5,Windows 10,2.1,7276080,128,SSD
372,Asus,Rog Strix,Gaming,17.3,IPS Panel Full HD 1920x1080,AMD,Ryzen 1700,3.0,16,256GB SSD +  1TB HDD,AMD,Radeon RX 580,Windows 10,3.25,37558920,256,SSD +  1TB HDD
373,Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,AMD,A8-Series 7410,2.2,4,128GB SSD,AMD,Radeon R5,Windows 10,2.6,8352120,128,SSD
374,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,1.8,8,256GB SSD,Intel,UHD Graphics 620,Windows 10,1.62,14842690,256,SSD
375,HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,AMD,A9-Series 9420,3.0,4,256GB SSD,AMD,Radeon R5,Windows 10,1.91,8351949,256,SSD
376,Lenovo,Yoga 11e,Netbook,11.6,IPS Panel 1366x768,Intel,Celeron Quad Core N3450,1.1,4,128GB SSD,Intel,HD Graphics 500,Windows 10,1.59,9445240,128,SSD
377,Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3060,1.6,4,500GB HDD,Intel,HD Graphics 400,Windows 10,1.8,5277720,500,HDD
378,Asus,VivoBook E403NA,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3350,1.1,4,32GB Flash Storage,Intel,HD Graphics 500,Windows 10,1.5,4884880,32,Flash Storage
379,Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,1TB HDD,Nvidia,GeForce GTX 1050,Linux,2.4,14449680,1000,HDD
380,HP,Omen 17-w212nv,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,3.35,20342280,128,SSD +  1TB HDD
381,Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,128GB SSD,Intel,HD Graphics 520,No OS,1.85,6891780,128,SSD
382,Asus,ROG Strix,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1060,Windows 10,2.3,28267400,128,SSD +  1TB HDD
383,Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Nvidia,GeForce 940MX,Windows 10,1.5,18770920,256,SSD
384,Asus,Zenbook Flip,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7,16,512GB SSD,Intel,HD Graphics 620,Windows 10,1.1,29871212,512,SSD
385,Lenovo,Thinkpad X1,Ultrabook,14.0,IPS Panel 2560x1440,Intel,Core i7 7500U,2.7,8,512GB SSD,Intel,HD Graphics 620,Windows 10,1.13,38976560,512,SSD
386,Lenovo,Ideapad 510S-13IKB,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i3 7100U,2.4,4,128GB SSD,Intel,HD Graphics 620,Windows 10,1.5,9376920,128,SSD
387,Dell,Precision 3510,Workstation,15.6,Full HD 1920x1080,Intel,Core i5 6440HQ,2.6,8,500GB HDD,AMD,FirePro W5130M,Windows 10,2.23,23382520,500,HDD
388,Dell,Precision 5520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 6820HQ,2.7,8,256GB SSD,Nvidia,Quadro M1200,Windows 10,2.0,36465800,256,SSD
389,Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel,Core i7 7500U,2.7,16,512GB SSD,Intel,HD Graphics 620,Windows 10,1.42,42853720,512,SSD
390,Asus,Rog GL753VD-GC042T,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,3.0,17746120,1000,HDD
391,Asus,Rog GL753VE-GC070T,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050 Ti,Windows 10,3.0,27174280,256,SSD +  1TB HDD
392,Acer,Aspire 5,Notebook,15.6,IPS Panel 1366x768,Intel,Core i5 8250U,1.6,12,1TB HDD,Nvidia,GeForce MX130,Windows 10,2.2,11853349,1000,HDD
393,MSI,Leopard GP72M,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,256GB SSD,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.7,23040920,256,SSD
394,Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD,AMD,Radeon R7 M445,Linux,2.33,13303099,256,SSD
395,HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,Full HD 1920x1080,AMD,A9-Series 9420,3.0,4,256GB SSD,AMD,Radeon 520,Windows 10,1.91,8522920,256,SSD
396,Lenovo,ThinkPad E580,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,256GB SSD,AMD,Radeon RX 550,Windows 10,2.1,21000884,256,SSD
397,Lenovo,ThinkPad L470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.9,16021040,256,SSD
398,Dell,Precision M5520,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,2.8,8,256GB SSD,Nvidia,Quadro M1200,Windows 10,1.78,46320960,256,SSD
399,Lenovo,Thinkpad X1,Ultrabook,14.0,IPS Panel 2560x1440,Intel,Core i7 7500U,2.7,16,1TB SSD,Intel,HD Graphics 620,Windows 10,1.13,44835000,1000,SSD
400,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1,4,1TB HDD,Intel,HD Graphics 500,Windows 10,2.2,5226480,1000,HDD
401,Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.9,26115320,256,SSD +  1TB HDD
402,Lenovo,ThinkPad E580,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD +  1TB HDD,AMD,Radeon RX 550,Windows 10,2.1,19548060,256,SSD +  1TB HDD
403,Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,256GB SSD,Nvidia,GeForce GTX 1050,Linux,2.5,15013320,256,SSD
404,MSI,GE73VR 7RF,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1070,Windows 10,2.8,38412920,256,SSD +  1TB HDD
405,Asus,Zenbook 3,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,512GB SSD,Intel,HD Graphics 620,Windows 10,1.1,31990840,512,SSD
406,Toshiba,Portege Z30-C-16P,Ultrabook,13.3,Full HD 1920x1080,Intel,Core i7 6500U,2.5,16,512GB SSD,Intel,HD Graphics 520,Windows 10,1.2,29838760,512,SSD
407,Dell,Latitude 7480,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 7600U,2.8,8,512GB SSD,Intel,HD Graphics,Windows 10,1.36,28694400,512,SSD
408,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,500GB HDD,Intel,HD Graphics 520,Windows 10,2.2,6985720,500,HDD
409,Lenovo,Lenovo IdeaPad,Notebook,11.6,1366x768,Intel,Celeron Dual Core N3350,1.1,2,32GB Flash Storage,Intel,HD Graphics 500,Windows 10,1.15,5200006,32,Flash Storage
410,Lenovo,ThinkPad P51,Workstation,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,512GB SSD,Nvidia,Quadro M1200,Windows 10,2.67,32879000,512,SSD
411,Lenovo,Thinkpad T470p,Ultrabook,14.0,IPS Panel Full HD 2560x1440,Intel,Core i7 7700HQ,2.8,8,512GB SSD,Nvidia,GeForce GT 940MX,Windows 10,1.7,33186440,512,SSD
412,HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,1TB HDD,AMD,Radeon 520,Windows 10,2.1,8010520,1000,HDD
413,Acer,Aspire R7,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 6500U,2.5,8,256GB SSD,Intel,HD Graphics 520,Windows 10,1.6,13476290,256,SSD
414,Asus,ZenBook Flip,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.27,15850240,256,SSD
415,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,4,256GB SSD,AMD,Radeon R5 M430,Linux,2.3,10229212,256,SSD
416,Dell,Latitude 3380,Notebook,13.3,1366x768,Intel,Core i3 6006U,2.0,4,128GB SSD,Intel,HD Graphics 520,Windows 10,1.65,11768120,128,SSD
417,HP,EliteBook 1040,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 6500U,2.5,8,256GB SSD,Intel,HD Graphics 520,Windows 10,1.43,25620000,256,SSD
418,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,8,1TB HDD,Intel,HD Graphics 620,Windows 10,2.14,9222346,1000,HDD
419,Lenovo,ThinkPad E480,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,256GB SSD,AMD,Radeon RX 550,Windows 10,1.75,20758690,256,SSD
420,Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,2.8,16,512GB SSD,Nvidia,GeForce GTX 1050,Windows 10,2.0,32434920,512,SSD
421,Chuwi,LapBook 12.3,Notebook,12.3,IPS Panel Retina Display 2736x1824,Intel,Celeron Quad Core N3450,1.1,6,64GB Flash Storage,Intel,HD Graphics 500,Windows 10,1.4,7668920,64,Flash Storage
422,HP,ProBook 650,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7820HQ,2.9,8,256GB SSD,Intel,HD Graphics 630,Windows 10,2.31,24373160,256,SSD
423,Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7100U,2.4,8,1TB HDD,Nvidia,GeForce 940MX,Linux,2.3,10196760,1000,HDD
424,Dell,Alienware 17,Gaming,17.3,IPS Panel 2560x1440,Intel,Core i7 7820HK,2.9,16,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1070,Windows 10,4.42,47806920,256,SSD +  1TB HDD
425,Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.62,19795720,128,SSD +  1TB HDD
426,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,256GB SSD +  2TB HDD,AMD,Radeon 530,Windows 10,2.02,19512192,256,SSD +  2TB HDD
427,Dell,Latitude 5480,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 7600U,2.8,8,256GB SSD,Intel,HD Graphics 620,Linux,1.6,18770920,256,SSD
428,HP,Omen 17-w207nv,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,12,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1070,Windows 10,3.35,34142920,256,SSD +  1TB HDD
429,Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Celeron Dual Core N3350,1.1,4,32GB SSD,Intel,HD Graphics 500,Windows 10,1.16,5106920,32,SSD
430,Samsung,Chromebook 3,Netbook,11.6,1366x768,Intel,Celeron Dual Core N3060,1.6,4,16GB Flash Storage,Intel,HD Graphics 400,Chrome OS,1.15,4594520,16,Flash Storage
431,Lenovo,Thinkpad 13,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.4,17250800,256,SSD
